AdultID,Sex,Treatment,Genetic ,Rearing,Day,Age,Timepoint,CORT,Integral,Plate,Mass,Free_Hormone,Per_CBG_Sat,CBG_Conc
3587,M,per,30,11,16,17,Baseline,0.49835,224.53152,6,NA,NA,NA,NA
3587,M,per,30,11,16,17,Stress,16.02287,224.53152,6,NA,NA,NA,NA
3587,M,per,30,11,40,41,Baseline,0.963917316,148.1395657,6,NA,NA,NA,NA
3587,M,per,30,11,40,41,Stress,9.79518,148.1395657,6,NA,NA,NA,NA
3587,M,per,30,11,90,91,Baseline,1.38321,210.967605,6,11.47,NA,NA,NA
3587,M,per,30,11,90,91,Stress,13.93664,210.967605,6,11.47,NA,NA,NA
3588,M,per,26,11,16,16,Baseline,2.40464,765.29346,2,NA,NA,NA,NA
3588,M,per,26,11,16,16,Stress,53.7494,765.29346,2,NA,NA,NA,NA
3588,M,per,26,11,40,40,Baseline,1.41613,235.14321,2,NA,NA,NA,NA
3588,M,per,26,11,40,40,Stress,15.68719,235.14321,2,NA,NA,NA,NA
3588,M,per,26,11,90,90,Baseline,1.158653605,204.4685995,2,12.14,NA,NA,NA
3588,M,per,26,11,90,90,Stress,13.72969,204.4685995,2,12.14,NA,NA,NA
3589,M,per,1,9,16,16,Baseline,1.50114,344.91375,10,11.87,NA,NA,NA
3589,M,per,1,9,16,16,Stress,23.71444,344.91375,10,11.87,NA,NA,NA
3589,M,per,1,9,40,40,Baseline,0.70866,45.940365,10,13.75,NA,NA,NA
3589,M,per,1,9,40,40,Stress,2.53685,45.940365,10,13.75,NA,NA,NA
3589,M,per,1,9,90,90,Baseline,7.826062708,165.1634247,10,15.1,NA,NA,NA
3589,M,per,1,9,90,90,Stress,2.66914,165.1634247,10,15.1,NA,NA,NA
3590,M,per,13,9,16,16,Baseline,0.85538,443.61006,15,11.02,NA,NA,NA
3590,M,per,13,9,16,16,Stress,31.81454,443.61006,15,11.02,NA,NA,NA
3590,M,per,13,9,40,40,Baseline,2.44291,272.92773,15,12.64,NA,NA,NA
3590,M,per,13,9,40,40,Stress,17.23109,272.92773,15,12.64,NA,NA,NA
3590,M,per,13,9,90,90,Baseline,2.71767,292.719645,15,13.82,NA,NA,NA
3590,M,per,13,9,90,90,Stress,18.36134,292.719645,15,13.82,NA,NA,NA
3591,F,cont,9,9,16,16,Baseline,2.87042,365.18325,1,11.82,NA,NA,NA
3591,F,cont,9,9,16,16,Stress,23.54232,365.18325,1,11.82,0.740013252,33.33,201.6071636
3591,F,cont,9,9,40,40,Baseline,1.60397,159.709155,1,13.75,NA,NA,NA
3591,F,cont,9,9,40,40,Stress,9.8699,159.709155,1,13.75,NA,NA,NA
3591,F,cont,9,9,90,90,Baseline,1.083392053,106.6167339,1,14.36,0.019187913,1.279887141,242.7936477
3591,F,cont,9,9,90,90,Stress,6.57339,106.6167339,1,14.36,NA,NA,NA
3592,M,low,9,9,16,16,Baseline,2.00977,134.29794,7,12.35,NA,NA,NA
3592,M,low,9,9,16,16,Stress,7.49161,134.29794,7,12.35,NA,NA,NA
3592,M,low,9,9,40,40,Baseline,1.648368621,85.39280225,7,14.79,NA,NA,NA
3592,M,low,9,9,40,40,Stress,4.31072,85.39280225,7,14.79,NA,NA,NA
3592,M,low,9,9,90,90,Baseline,1.648368621,86.49912725,7,15.56,NA,NA,NA
3592,M,low,9,9,90,90,Stress,4.39267,86.49912725,7,15.56,NA,NA,NA
3593,M,cont,2,22,16,14,Baseline,1.597315607,219.9138475,14,NA,NA,NA,NA
