EggID,Treatment,LayMass,HatchMass,LayDate,HatchDate,DevelTime,DegreeDays,DegreeDays2,Hours,Survival
1_2,low,1.0701,0.7166,5/14/18,5/30/18,15.85,412.12,576.97,380.42,1
1_3,per,1.1467,0.8079,5/15/18,5/30/18,14.88,386.89,541.65,357.13,1
1_4,per,1.2072,0.872,5/16/18,5/31/18,15.06,391.66,548.33,361.53,1
1_5,cont,1.2468,0.7636,5/17/18,5/31/18,13.91,361.62,520.17,333.8,1
1_7,per,1.1069,0.7916,6/12/18,6/27/18,14.84,385.9,540.26,356.22,1
1_8,low,1.0249,0.6642,6/13/18,6/29/18,16.33,424.67,594.53,392,1
10_10,low,1.0335,0.7323,7/23/18,8/7/18,14.8,384.82,538.75,355.22,1
10_4,low,1.1316,NA,6/16/18,7/1/18,15.23,396.01,554.42,365.55,1
10_5,cont,0.9836,0.5549,6/17/18,6/28/18,10.92,283.92,408.41,262.08,1
10_6,per,1.0246,0.7682,7/7/18,7/22/18,14.85,386.06,540.49,356.37,1
10_7,low,1.0006,0.6946,7/11/18,7/25/18,13.5,351,491.4,324,1
10_8,cont,1.1295,0.8694,7/11/18,7/25/18,13.98,363.48,522.85,335.52,1
11_10,cont,1.2664,0.9195,8/14/18,8/28/18,14.08,366.06,526.56,337.9,1
11_11,per,1.2929,0.9262,8/15/18,8/30/18,14.81,385.03,539.05,355.42,1
11_4,per,1.2393,0.9335,6/12/18,6/27/18,15.14,393.61,551.06,363.33,1
11_5,low,1.2957,0.9079,6/13/18,6/29/18,15.83,411.67,576.33,380,1
11_6,cont,1.3895,0.5845,6/14/18,6/29/18,14.92,387.92,558.01,358.08,1
11_8,per,1.2577,0.7026,8/12/18,8/27/18,14.91,387.72,542.81,357.9,1
11_9,low,1.2825,0.9395,8/13/18,8/28/18,14.92,388.01,543.22,358.17,1
13_12,per,1.1455,0.8129,6/12/18,6/27/18,14.84,385.9,540.26,356.22,1
13_13,low,1.0749,0.8252,6/13/18,6/28/18,15.12,393.09,550.32,362.85,1
13_16,low,1.1581,0.7704,6/16/18,7/2/18,15.84,411.83,576.56,380.15,1
13_18,cont,1.1056,0.7814,7/12/18,7/26/18,14.07,365.86,526.28,337.72,1
13_2,per,1.1114,0.8452,4/29/18,5/14/18,15.11,392.8,549.92,362.58,1
13_20,low,1.1327,0.8731,7/14/18,7/29/18,15.23,396.03,554.44,365.57,1
13_21,cont,1.1531,0.8834,7/15/18,7/29/18,14.23,370.03,532.27,341.57,1
13_22,per,NA,0.8569,7/16/18,7/31/18,14.83,385.65,539.91,355.98,1
13_4,cont,1.1476,0.7631,5/1/18,5/16/18,14.82,385.27,554.2,355.63,1
13_5,per,1.1691,0.899,5/2/18,5/17/18,14.99,389.64,545.49,359.67,1
13_6,per,1.1842,0.8493,5/3/18,5/18/18,15.23,396.01,554.42,365.55,1
13_7,low,1.1229,0.8411,5/22/18,6/7/18,15.87,412.57,577.6,380.83,1
13_9,per,1.0916,0.8267,5/24/18,6/8/18,15.07,391.79,548.5,361.65,1
