EggID,AdultID,Survival,NestID,Order,Round,Treatment,LayMass,Mass2,HatchMass,,,,,
2_15,NA,0,2,15,2,cont,1.0419,NA,NA,,,,,
2_5,NA,0,2,5,1,per,1.2711,1.2095,NA,,,,,
2_8,NA,0,2,8,1,per,1.0997,1.0426,NA,,,,,
2_9,NA,0,2,9,1,per,1.157,1.0814,NA,,,,,
4_12,NA,0,4,12,2,low,1.1646,1.0788,NA,,,,,
4_18,NA,0,4,18,2,low,1.2713,1.1554,NA,,,,,
4_21,NA,0,4,21,2,per,1.1851,1.1013,NA,,,,,
9_4,NA,0,9,4,1,per,1.3659,0.9071,NA,,,,,
11_1,NA,0,11,1,1,low,0.9727,NA,NA,,,,,
13_15,NA,0,13,15,2,per,1.1532,1.0682,NA,,,,,
13_19,NA,0,13,19,2,per,1.1267,1.0329,NA,,,,,
13_8,NA,0,13,8,1,cont,1.0889,1.0126,NA,,,,,
14_14,NA,0,14,14,2,low,0.843,NA,NA,,,,,
14_15,NA,0,14,15,2,cont,1.071,0.7389,NA,,,,,
15_4,NA,0,15,4,1,low,1.2784,1.1488,NA,,,,,
15_7,NA,0,15,7,2,per,1.2372,0.8875,NA,,,,,
15_9,NA,0,15,9,2,cont,1.5047,NA,NA,,,,,
19_12,NA,0,19,12,1,per,1.2136,1.1375,NA,,,,,
19_15,NA,0,19,15,2,cont,1.1771,1.0841,NA,,,,,
19_19,NA,0,19,19,2,per,1.1902,1.066,NA,,,,,
26_10,NA,0,26,10,2,low,1.1971,1.1253,NA,,,,,
28_9,NA,0,28,9,2,cont,1.0149,0.8802,NA,,,,,
31_10,NA,0,31,10,2,cont,1.1369,0.9101,NA,,,,,
31_4,NA,0,31,4,2,low,1.2093,1.1107,NA,,,,,
32_12,NA,0,32,12,2,cont,1.155,0.9036,NA,,,,,
32_14,NA,0,32,14,2,low,1.157,1.0807,NA,,,,,
32_9,NA,0,32,9,2,per,1.055,NA,NA,,,,,
30_8,3587,1,26,2,2,per,1.1342,0.8489,0.5946,,,,,
26_2,3588,1,30,8,2,per,1.0402,0.9637,0.7977,,,,,
1_7,3589,1,1,7,2,per,1.1069,0.968,0.7916,,,,,
13_12,3590,1,13,12,2,per,1.1455,1.0728,0.8129,,,,,
9_10,3591,1,9,10,2,cont,1.3612,1.222,1.0155,,,,,
9_9,3592,1,9,9,2,low,1.3616,1.2653,0.9625,,,,,
2_2,3593,1,2,2,1,cont,1.2342,1.1432,0.8593,,,,,
13_2,3594,1,13,2,1,per,1.1114,1.0152,0.8452,,,,,
9_2,3595,1,9,2,1,cont,1.4133,1.2388,1.014,,,,,
32_6,3596,1,32,6,2,per,1.2495,1.1009,0.8815,,,,,
11_4,3597,1,11,4,2,per,1.2393,1.1557,0.9335,,,,,
13_13,3598,1,13,13,2,low,1.0749,0.9887,0.8252,,,,,
9_11,3600,1,9,11,2,per,1.3849,1.2589,1.0414,,,,,
