EggID,AdultID,Survival,NestID,Order,Round,DevelTime,Treatment,Timepoint,Mass
30_8,3587,1,26,2,2,15,per,Lay,1.1342
30_8,3587,1,26,2,2,15,per,Eighty,0.8489
30_8,3587,1,26,2,2,15,per,Hatch,0.5946
26_2,3588,1,30,8,2,15,per,Lay,1.0402
26_2,3588,1,30,8,2,15,per,Eighty,0.9637
26_2,3588,1,30,8,2,15,per,Hatch,0.7977
1_7,3589,1,1,7,2,15,per,Lay,1.1069
1_7,3589,1,1,7,2,15,per,Eighty,0.968
1_7,3589,1,1,7,2,15,per,Hatch,0.7916
13_12,3590,1,13,12,2,15,per,Lay,1.1455
13_12,3590,1,13,12,2,15,per,Eighty,1.0728
13_12,3590,1,13,12,2,15,per,Hatch,0.8129
9_10,3591,1,9,10,2,15,cont,Lay,1.3612
9_10,3591,1,9,10,2,15,cont,Eighty,1.222
9_10,3591,1,9,10,2,15,cont,Hatch,1.0155
9_9,3592,1,9,9,2,16,low,Lay,1.3616
9_9,3592,1,9,9,2,16,low,Eighty,1.2653
9_9,3592,1,9,9,2,16,low,Hatch,0.9625
2_2,3593,1,2,2,1,15,cont,Lay,1.2342
2_2,3593,1,2,2,1,15,cont,Eighty,1.1432
2_2,3593,1,2,2,1,15,cont,Hatch,0.8593
13_2,3594,1,13,2,1,15,per,Lay,1.1114
13_2,3594,1,13,2,1,15,per,Eighty,1.0152
13_2,3594,1,13,2,1,15,per,Hatch,0.8452
9_2,3595,1,9,2,1,14,cont,Lay,1.4133
9_2,3595,1,9,2,1,14,cont,Eighty,1.2388
9_2,3595,1,9,2,1,14,cont,Hatch,1.014
32_6,3596,1,32,6,2,14,per,Lay,1.2495
32_6,3596,1,32,6,2,14,per,Eighty,1.1009
32_6,3596,1,32,6,2,14,per,Hatch,0.8815
11_4,3597,1,11,4,2,15,per,Lay,1.2393
11_4,3597,1,11,4,2,15,per,Eighty,1.1557
11_4,3597,1,11,4,2,15,per,Hatch,0.9335
13_13,3598,1,13,13,2,15,low,Lay,1.0749
13_13,3598,1,13,13,2,15,low,Eighty,0.9887
13_13,3598,1,13,13,2,15,low,Hatch,0.8252
9_11,3600,1,9,11,2,15,per,Lay,1.3849
9_11,3600,1,9,11,2,15,per,Eighty,1.2589
9_11,3600,1,9,11,2,15,per,Hatch,1.0414
10_5,3601,1,10,5,2,11,cont,Lay,0.9836
10_5,3601,1,10,5,2,11,cont,Eighty,NA
10_5,3601,1,10,5,2,11,cont,Hatch,0.5549
32_7,3602,1,32,7,2,15,low,Lay,1.1946
32_7,3602,1,32,7,2,15,low,Eighty,1.108
32_7,3602,1,32,7,2,15,low,Hatch,0.9254
6_9,3603,1,6,9,2,15,low,Lay,1.1397
6_9,3603,1,6,9,2,15,low,Eighty,1.0173
6_9,3603,1,6,9,2,15,low,Hatch,NA
6_8,3604,1,6,8,2,16,per,Lay,1.0633
6_8,3604,1,6,8,2,16,per,Eighty,0.9734
6_8,3604,1,6,8,2,16,per,Hatch,0.7701
31_3,3606,1,31,3,2,15,per,Lay,1.2391
31_3,3606,1,31,3,2,15,per,Eighty,NA
31_3,3606,1,31,3,2,15,per,Hatch,0.878
13_16,3607,1,13,16,2,16,low,Lay,1.1581
13_16,3607,1,13,16,2,16,low,Eighty,NA
13_16,3607,1,13,16,2,16,low,Hatch,0.7704
29_13,3608,1,29,13,2,15,per,Lay,0.9179
29_13,3608,1,29,13,2,15,per,Eighty,0.8243
29_13,3608,1,29,13,2,15,per,Hatch,0.6731
31_5,3610,1,31,5,2,15,cont,Lay,1.0924
31_5,3610,1,31,5,2,15,cont,Eighty,0.9923
31_5,3610,1,31,5,2,15,cont,Hatch,0.7745
28_8,3611,1,28,8,2,15,low,Lay,1.1859
28_8,3611,1,28,8,2,15,low,Eighty,1.0727
28_8,3611,1,28,8,2,15,low,Hatch,0.861
28_10,3612,1,28,10,2,14,per,Lay,0.9473
28_10,3612,1,28,10,2,14,per,Eighty,0.8751
28_10,3612,1,28,10,2,14,per,Hatch,0.7324
29_16,3613,1,29,16,2,15,low,Lay,1.1424
29_16,3613,1,29,16,2,15,low,Eighty,1.0494
29_16,3613,1,29,16,2,15,low,Hatch,0.8412
29_17,3614,1,29,17,2,14,cont,Lay,1.1825
29_17,3614,1,29,17,2,14,cont,Eighty,0.9855
29_17,3614,1,29,17,2,14,cont,Hatch,0.8093
2_13,3615,1,2,13,2,14,per,Lay,1.1104
2_13,3615,1,2,13,2,14,per,Eighty,0.8561
2_13,3615,1,2,13,2,14,per,Hatch,0.65
4_14,3616,1,4,14,2,15,per,Lay,1.2547
4_14,3616,1,4,14,2,15,per,Eighty,NA
4_14,3616,1,4,14,2,15,per,Hatch,0.8267
4_15,3617,1,4,15,2,15,low,Lay,1.1537
4_15,3617,1,4,15,2,15,low,Eighty,1.0511
4_15,3617,1,4,15,2,15,low,Hatch,0.8204
4_16,3618,1,4,16,2,14,cont,Lay,1.2329
4_16,3618,1,4,16,2,14,cont,Eighty,1.1465
4_16,3618,1,4,16,2,14,cont,Hatch,0.9025
15_8,3619,1,15,8,2,15,low,Lay,1.3057
15_8,3619,1,15,8,2,15,low,Eighty,1.1935
15_8,3619,1,15,8,2,15,low,Hatch,0.9257
4_17,3620,1,4,17,2,15,per,Lay,1.2224
4_17,3620,1,4,17,2,15,per,Eighty,1.117
4_17,3620,1,4,17,2,15,per,Hatch,0.9039
32_11,3621,1,32,11,2,15,low,Lay,1.1695
32_11,3621,1,32,11,2,15,low,Eighty,1.0919
32_11,3621,1,32,11,2,15,low,Hatch,0.8468
10_6,3622,1,10,6,2,15,per,Lay,1.0246
10_6,3622,1,10,6,2,15,per,Eighty,0.9615
10_6,3622,1,10,6,2,15,per,Hatch,0.7682
32_13,3623,1,32,13,2,14,per,Lay,1.175
32_13,3623,1,32,13,2,14,per,Eighty,1.0852
32_13,3623,1,32,13,2,14,per,Hatch,0.8732
10_7,3624,1,10,7,2,14,low,Lay,1.0006
10_7,3624,1,10,7,2,14,low,Eighty,0.9446
10_7,3624,1,10,7,2,14,low,Hatch,0.6946
10_8,3625,1,10,8,2,14,cont,Lay,1.1295
10_8,3625,1,10,8,2,14,cont,Eighty,1.0744
10_8,3625,1,10,8,2,14,cont,Hatch,0.8694
13_18,3626,1,13,18,2,14,cont,Lay,1.1056
13_18,3626,1,13,18,2,14,cont,Eighty,0.9366
13_18,3626,1,13,18,2,14,cont,Hatch,0.7814
19_16,3627,1,19,16,2,15,per,Lay,1.1883
19_16,3627,1,19,16,2,15,per,Eighty,1.0494
19_16,3627,1,19,16,2,15,per,Hatch,0.8352
19_17,3628,1,19,17,2,15,low,Lay,1.1615
19_17,3628,1,19,17,2,15,low,Eighty,1.0804
19_17,3628,1,19,17,2,15,low,Hatch,0.8869
23_4,3629,1,23,4,2,15,low,Lay,1.1562
23_4,3629,1,23,4,2,15,low,Eighty,1.0864
23_4,3629,1,23,4,2,15,low,Hatch,0.7938
23_5,3630,1,23,5,2,14,cont,Lay,1.1586
23_5,3630,1,23,5,2,14,cont,Eighty,0.9882
23_5,3630,1,23,5,2,14,cont,Hatch,0.7883
13_20,3631,1,13,20,2,15,low,Lay,1.1327
13_20,3631,1,13,20,2,15,low,Eighty,1.0535
13_20,3631,1,13,20,2,15,low,Hatch,0.8731
14_19,3632,1,14,19,2,14,cont,Lay,0.9702
14_19,3632,1,14,19,2,14,cont,Eighty,0.8869
14_19,3632,1,14,19,2,14,cont,Hatch,0.7054
13_21,3633,1,13,21,2,14,cont,Lay,1.1531
13_21,3633,1,13,21,2,14,cont,Eighty,1.0704
13_21,3633,1,13,21,2,14,cont,Hatch,0.8834
23_6,3634,1,23,6,2,15,per,Lay,1.0746
23_6,3634,1,23,6,2,15,per,Eighty,0.9926
23_6,3634,1,23,6,2,15,per,Hatch,0.7731
26_7,3635,1,26,7,2,14,low,Lay,1.198
26_7,3635,1,26,7,2,14,low,Eighty,1.1092
26_7,3635,1,26,7,2,14,low,Hatch,0.8928
23_7,3636,1,23,7,2,15,low,Lay,1.1512
23_7,3636,1,23,7,2,15,low,Eighty,1.0694
23_7,3636,1,23,7,2,15,low,Hatch,0.8561
26_8,3637,1,26,8,2,15,cont,Lay,1.2064
26_8,3637,1,26,8,2,15,cont,Eighty,1.1327
26_8,3637,1,26,8,2,15,cont,Hatch,0.7902
13_22,3638,1,13,22,2,15,per,Lay,NA
13_22,3638,1,13,22,2,15,per,Eighty,1.0445
13_22,3638,1,13,22,2,15,per,Hatch,0.8569
14_21,3639,1,14,21,2,15,low,Lay,1.0361
14_21,3639,1,14,21,2,15,low,Eighty,0.9358
14_21,3639,1,14,21,2,15,low,Hatch,0.738
26_9,3640,1,26,9,2,16,per,Lay,1.1954
26_9,3640,1,26,9,2,16,per,Eighty,1.1102
26_9,3640,1,26,9,2,16,per,Hatch,0.6684
14_22,3641,1,14,22,2,15,cont,Lay,1.0638
14_22,3641,1,14,22,2,15,cont,Eighty,0.9715
14_22,3641,1,14,22,2,15,cont,Hatch,0.6805
26_11,3642,1,26,11,2,14,cont,Lay,1.2581
26_11,3642,1,26,11,2,14,cont,Eighty,1.1782
26_11,3642,1,26,11,2,14,cont,Hatch,0.952
5_3,3646,1,5,3,2,14,cont,Lay,1.2748
5_3,3646,1,5,3,2,14,cont,Eighty,1.1492
5_3,3646,1,5,3,2,14,cont,Hatch,0.8797
7_2,3647,1,7,2,2,14,cont,Lay,0.9944
7_2,3647,1,7,2,2,14,cont,Eighty,0.915
7_2,3647,1,7,2,2,14,cont,Hatch,0.7118
5_4,3648,1,5,4,2,15,per,Lay,1.2847
5_4,3648,1,5,4,2,15,per,Eighty,1.1541
5_4,3648,1,5,4,2,15,per,Hatch,0.8905
7_3,3649,1,7,3,2,15,per,Lay,0.9867
7_3,3649,1,7,3,2,15,per,Eighty,0.915
7_3,3649,1,7,3,2,15,per,Hatch,0.7118
7_4,3650,1,7,4,2,15,low,Lay,1.0278
7_4,3650,1,7,4,2,15,low,Eighty,0.9575
