AdultID,EggID,FMass,MMass,Genetic,Order,Rearing,Sex,Treatment,DayM,Mass,DayT,Tarsus,Head,Body
3587,30_8,15.63,13.35,30,8,11,M,per,0,0.5946,0,3.79,5.82,14.48
3587,30_8,15.63,13.35,30,8,11,M,per,2,1.28,2,4.22,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,5,3.26,5,5.69,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,10,8.54,10,13.15,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,16,NA,30,15.1,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,30,11.66,60,15.1,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,40,NA,NA,NA,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,60,12.21,NA,NA,NA,NA
3587,30_8,15.63,13.35,30,8,11,M,per,90,11.47,NA,NA,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,0,0.7977,0,3.90,6.45,15.38
3588,26_2,15.14,13.83,26,2,11,M,per,2,0.98,2,NA,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,5,2.65,5,8.47,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,10,7.16,10,12.98,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,16,NA,30,15.6,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,30,12.73,60,15.9,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,40,NA,NA,NA,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,60,12.9,NA,NA,NA,NA
3588,26_2,15.14,13.83,26,2,11,M,per,90,12.14,NA,NA,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,0,0.7916,0,3.40,6.26,16.92
3589,1_7,13.87,14.35,1,7,9,M,per,2,1.85,2,5.40,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,5,3.36,5,7.27,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,10,7.48,10,12.69,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,16,11.87,30,16.4,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,30,14.57,60,16.5,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,40,13.75,NA,NA,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,60,15.12,NA,NA,NA,NA
3589,1_7,13.87,14.35,1,7,9,M,per,90,15.1,NA,NA,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,0,0.8129,0,4.68,6.32,17.30
3590,13_12,15.71,15.03,13,12,9,M,per,2,1.95,2,5.28,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,5,3.81,5,7.81,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,10,7.93,10,14.47,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,16,11.02,30,14.8,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,30,12.38,60,15.1,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,40,12.64,NA,NA,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,60,13.52,NA,NA,NA,NA
3590,13_12,15.71,15.03,13,12,9,M,per,90,13.82,NA,NA,NA,NA
3591,9_10,16.71,13.71,9,10,9,F,cont,0,1.0155,0,4.80,6.81,17.80
